,Sentence_id,Word,POS,Tag
355,,operations,NNS,0
356,,in,IN,0
357,,the,DT,0
358,,Niger,NNP,7
359,,Delta,NNP,8
360,,to,TO,0
361,,demand,VB,0
362,,social,JJ,0
363,,services,NNS,0
364,,and,CC,0
365,,better,JJR,0
366,,job,NN,0
367,,opportunities,NNS,0
368,,from,IN,0
369,,multinational,JJ,0
370,,companies,NNS,0
371,,.,.,0
372,19.0,Suspected,JJ,0
373,,Islamist,JJ,0
374,,rebels,NNS,0
375,,have,VBP,0
376,,fired,VBN,0
377,,mortar,NN,0
378,,shells,NNS,0
379,,at,IN,0
380,,the,DT,0
381,,palace,NN,0
382,,used,VBN,0
383,,by,IN,0
384,,Somalia,NNP,7
385,,'s,POS,0
386,,interim,JJ,0
387,,President,NNP,1
388,,Abdullahi,NNP,2
389,,Yusuf,NNP,2
390,,Ahmad,NNP,2
391,,.,.,0
392,21.0,Local,JJ,0
393,,news,NN,0
394,,reports,NNS,0
395,,said,VBD,0
396,,at,IN,0
397,,least,JJS,0
398,,five,CD,0
399,,mortar,NN,0
400,,shells,NNS,0
401,,hit,VBD,0
402,,the,DT,0
403,,palace,NN,0
404,,compound,NN,0
405,,and,CC,0
406,,other,JJ,0
407,,mortars,NNS,0
408,,were,VBD,0
409,,fired,VBN,0
410,,elsewhere,RB,0
411,,in,IN,0
412,,Mogadishu,NNP,7
413,,Wednesday,NNP,13
414,,.,.,0
415,22.0,The,DT,0
416,,attacks,NNS,0
417,,occurred,VBD,0
418,,after,IN,0
419,,the,DT,0
420,,government,NN,0
421,,said,VBD,0
422,,it,PRP,0
423,,will,MD,0
424,,go,VB,0
425,,ahead,RB,0
426,,with,IN,0
427,,a,DT,0
428,,reconciliation,NN,0
429,,conference,NN,0
430,,to,TO,0
431,,which,WDT,0
432,,more,JJR,0
433,,than,IN,0
434,,"1,300",CD,0
435,,Somali,JJ,3
436,,elders,NNS,0
437,,",",",",0
438,,warlords,NNS,0
439,,and,CC,0
440,,politicians,NNS,0
441,,are,VBP,0
442,,invited,VBN,0
443,,.,.,0
444,23.0,Iraqi,JJ,3
445,,military,JJ,0
446,,officials,NNS,0
447,,say,VBP,0
448,,tanks,NNS,0
449,,and,CC,0
450,,troops,NNS,0
451,,have,VBP,0
452,,arrived,VBN,0
453,,in,IN,0
454,,the,DT,0
455,,northern,JJ,0
456,,city,NN,0
457,,Mosul,NNP,7
458,,for,IN,0
459,,a,DT,0
460,,new,JJ,0
461,,offensive,NN,0
462,,against,IN,0
463,,al,NNP,15
464,,Qaida,NNP,16
465,,in,IN,16
466,,Iraq,NNP,16
467,,fighters,NNS,0
468,,.,.,0
469,24.0,Officials,NNS,0
470,,will,MD,0
471,,not,RB,0
472,,say,VB,0
473,,how,WRB,0
474,,many,JJ,0
475,,troops,NNS,0
476,,have,VBP,0
477,,arrived,VBN,0
478,,in,IN,0
479,,the,DT,0
480,,Sunni,NNP,7
481,,Arab,NNP,8
482,,and,CC,0
483,,Kurdish,NNP,7
484,,city,NN,0
485,,",",",",0
486,,where,WRB,0
487,,bombings,NNS,0
488,,last,JJ,0
489,,week,NN,0
490,,killed,VBD,0
491,,at,IN,0
492,,least,JJS,0
493,,34,CD,0
494,,people,NNS,0
495,,and,CC,0
496,,wounded,VBD,0
497,,more,JJR,0
498,,than,IN,0
499,,200,CD,0
500,,.,.,0
501,25.0,U.S.,NNP,3
502,,commanders,NNS,0
503,,have,VBP,0
504,,not,RB,0
505,,explained,VBN,0
506,,how,WRB,0
507,,American,JJ,3
508,,forces,NNS,0
509,,will,MD,0
510,,participate,VB,0
511,,in,IN,0
512,,the,DT,0
513,,offensive,NN,0
514,,.,.,0
515,26.0,Officials,NNS,0
516,,say,VBP,0
517,,al,NNP,15
518,,Qaida,NNP,16
519,,in,IN,16
520,,Iraq,NNP,16
521,,fighters,NNS,0
522,,have,VBP,0
523,,fled,VBN,0
524,,successful,JJ,0
525,,campaigns,NNS,0
526,,against,IN,0
527,,them,PRP,0
528,,in,IN,0
529,,Anbar,NNP,7
530,,province,NN,0
531,,and,CC,0
532,,Baghdad,NNP,7
533,,to,TO,0
534,,other,JJ,0
535,,northern,JJ,0
536,,provinces,NNS,0
537,,.,.,0
538,27.0,Mosul,NNP,7
539,,is,VBZ,0
540,,the,DT,0
541,,largest,JJS,0
542,,city,NN,0
543,,north,NN,0
544,,of,IN,0
545,,Baghdad,NNP,7
546,,and,CC,0
547,,has,VBZ,0
548,,long,RB,0
549,,been,VBN,0
550,,a,DT,0
551,,stronghold,NN,0
552,,of,IN,0
553,,Sunni,NNP,15
554,,militant,JJ,0
555,,fighters,NNS,0
556,,.,.,0
557,28.0,In,IN,0
558,,other,JJ,0
559,,violence,NN,0
560,,",",",",0
561,,U.S.,NNP,3
562,,officials,NNS,0
563,,said,VBD,0
564,,one,CD,0
565,,American,JJ,3
566,,soldier,NN,0
567,,was,VBD,0
568,,killed,VBN,0
569,,while,IN,0
570,,on,IN,0
571,,patrol,NN,0
572,,in,IN,0
573,,Baghdad,NNP,7
574,,Sunday,NNP,13
575,,.,.,0
576,29.0,Egyptian,JJ,3
577,,police,NNS,0
578,,have,VBP,0
579,,arrested,VBN,0
580,,at,IN,0
581,,least,JJS,0
582,,16,CD,0
583,,members,NNS,0
584,,of,IN,0
585,,the,DT,0
586,,opposition,NN,0
587,,Muslim,NNP,15
588,,Brotherhood,NNP,16
589,,as,IN,0
590,,parts,NNS,0
591,,of,IN,0
592,,the,DT,0
593,,country,NN,0
594,,prepare,VB,0
595,,for,IN,0
596,,parliamentary,JJ,0
597,,runoff,NN,0
598,,elections,NNS,0
599,,Saturday,NNP,13
600,,.,.,0
601,30.0,The,DT,0
602,,arrests,NNS,0
603,,occurred,VBD,0
604,,Friday,NNP,13
605,,in,IN,0
606,,Alexandria,NNP,7
607,,.,.,0
608,31.0,A,DT,0
609,,spokesman,NN,0
610,,for,IN,0
611,,the,DT,0
612,,Brotherhood,NNP,15
613,,said,VBD,0
614,,the,DT,0
615,,arrests,NNS,0
616,,are,VBP,0
617,,an,DT,0
618,,attempt,NN,0
619,,to,TO,0
620,,cut,VB,0
621,,the,DT,0
622,,Brotherhood,NNP,15
623,,off,RB,0
624,,from,IN,0
625,,its,PRP$,0
626,,supporters,NNS,0
627,,and,CC,0
628,,punishment,NN,0
629,,for,IN,0
630,,winning,VBG,0
631,,parliamentary,JJ,0
632,,seats,NNS,0
633,,in,IN,0
634,,earlier,JJR,0
635,,elections,NNS,0
636,,.,.,0
637,32.0,The,DT,0
638,,Muslim,NNP,15
639,,Brotherhood,NNP,16
640,,has,VBZ,0
641,,tripled,VBN,0
642,,its,PRP$,0
643,,strength,NN,0
644,,in,IN,0
645,,parliament,NN,0
646,,in,IN,0
647,,recent,JJ,0
648,,elections,NNS,0
649,,",",",",0
650,,raising,VBG,0
651,,the,DT,0
652,,party,NN,0
653,,'s,POS,0
654,,total,NN,0
655,,to,TO,0
656,,47,CD,0
657,,seats,NNS,0
658,,.,.,0
659,33.0,In,IN,0
660,,Saturday,NNP,13
661,,'s,POS,0
662,,elections,NNS,0
663,,",",",",0
664,,voters,NNS,0
665,,will,MD,0
666,,cast,VB,0
667,,ballots,NNS,0
668,,in,IN,0
669,,nine,CD,0
670,,provinces,NNS,0
671,,where,WRB,0
672,,no,DT,0
673,,candidate,NN,0
674,,won,VBD,0
675,,a,DT,0
676,,majority,NN,0
677,,in,IN,0
678,,the,DT,0
679,,previous,JJ,0
680,,round,NN,0
681,,of,IN,0
682,,voting,NN,0
683,,.,.,0
684,34.0,The,DT,0
685,,Muslim,NNP,15
686,,Brotherhood,NNP,16
687,,is,VBZ,0
688,,banned,VBN,0
689,,as,IN,0
690,,a,DT,0
691,,political,JJ,0
692,,party,NN,0
693,,",",",",0
694,,but,CC,0
695,,it,PRP,0
696,,endorses,VBZ,0
697,,so-called,JJ,0
698,,independent,JJ,0
699,,candidates,NNS,0
700,,whose,WP$,0
701,,allegiance,NN,0
702,,to,IN,0
703,,the,DT,0
704,,party,NN,0
705,,is,VBZ,0
706,,known,VBN,0
707,,to,TO,0
708,,voters,NNS,0
709,,.,.,0
710,35.0,Hardline,JJ,0
711,,lawmakers,NNS,0
712,,in,IN,0
713,,Pakistan,NNP,7
714,,'s,POS,0
715,,North,NNP,7
716,,West,NNP,8
717,,Frontier,NNP,8
718,,Province,NNP,8
719,,have,VBP,0
720,,pushed,VBN,0
721,,through,IN,0
722,,a,DT,0
723,,law,NN,0
724,,that,WDT,0
725,,aims,VBZ,0
726,,to,TO,0
727,,ensure,VB,0
728,,"""",``,0
729,,Islamic,JJ,0
730,,correctness,NN,0
731,,"""",``,0
732,,in,IN,0
733,,public,JJ,0
734,,places,NNS,0
735,,and,CC,0
736,,establishes,VBZ,0
737,,a,DT,0
738,,morality,NN,0
739,,police,NN,0
740,,to,TO,0
741,,enforce,VB,0
742,,decent,JJ,0
743,,behavior,NN,0
744,,.,.,0
745,38.0,The,DT,0
746,,proposed,JJ,0
747,,law,NN,0
748,,calls,VBZ,0
749,,for,IN,0
750,,setting,VBG,0
751,,up,RP,0
752,,a,DT,0
753,,"""",``,0
754,,religious,JJ,0
755,,police,NN,0
756,,force,NN,0
757,,"""",``,0
758,,to,TO,0
759,,make,VB,0
760,,sure,JJ,0
761,,people,NNS,0
762,,adhere,VBP,0
763,,to,TO,0
764,,Islamic,JJ,0
765,,values,NNS,0
766,,in,IN,0
767,,public,JJ,0
768,,places,NNS,0
769,,",",",",0
770,,and,CC,0
771,,entertainment,NN,0
772,,outlets,NNS,0
773,,close,RB,0
774,,during,IN,0
775,,weekly,JJ,0
776,,Friday,NNP,13
777,,prayers,NNS,0
778,,.,.,0
779,40.0,The,DT,0
780,,opposition,NN,0
781,,has,VBZ,0
782,,denounced,VBN,0
783,,the,DT,0
784,,measure,NN,0
785,,",",",",0
786,,comparing,VBG,0
787,,it,PRP,0
788,,to,TO,0
789,,the,DT,0
790,,draconian,JJ,0
791,,rule,NN,0
792,,of,IN,0
793,,the,DT,0
794,,former,JJ,0
795,,Taleban,NNP,15
796,,in,IN,0
797,,neighboring,VBG,0
798,,Afghanistan,NNP,7
799,,.,.,0
800,42.0,Bedfordshire,NNP,3
801,,police,NNS,0
802,,said,VBD,0
803,,Tuesday,NNP,13
804,,that,IN,0
805,,Omar,NNP,1
806,,Khayam,NNP,2
807,,was,VBD,0
808,,arrested,VBN,0
809,,in,IN,0
810,,Bedford,NNP,7
811,,for,IN,0
812,,breaching,VBG,0
813,,the,DT,0
814,,conditions,NNS,0
815,,of,IN,0
816,,his,PRP$,0
817,,parole,NN,0
818,,.,.,0
819,43.0,Police,NNS,0
820,,said,VBD,0
821,,the,DT,0
822,,British,NNP,15
823,,Home,NNP,16
824,,Office,NNP,16
825,,sought,VBD,0
826,,an,DT,0
827,,investigation,NN,0
828,,of,IN,0
829,,Khayam,NNP,1
830,,'s,POS,0
831,,behavior,NN,0
832,,after,IN,0
833,,he,PRP,0
834,,was,VBD,0
835,,photographed,VBN,0
836,,last,JJ,0
837,,week,NN,0
838,,at,IN,0
839,,a,DT,0
840,,demonstration,NN,0
841,,dressed,VBN,0
842,,in,IN,0
843,,fatigues,NNS,0
844,,",",",",0
845,,a,DT,0
846,,black,JJ,0
847,,cap,NN,0
848,,",",",",0
849,,and,CC,0
850,,a,DT,0
851,,bulky,JJ,0
852,,belt,NN,0
853,,.,.,0
854,44.0,A,DT,0
855,,Home,NNP,15
856,,Office,NNP,16
857,,spokesman,NN,0
858,,told,VBD,0
859,,the,DT,0
860,,Associated,NNP,15
861,,Press,NNP,16
862,,that,IN,0
863,,if,IN,0
864,,the,DT,0
865,,behavior,NN,0
866,,of,IN,0
867,,a,DT,0
868,,paroled,JJ,0
869,,offender,NN,0
870,,gives,VBZ,0
871,,cause,NN,0
872,,for,IN,0
873,,concern,NN,0
874,,",",",",0
875,,he,PRP,0
876,,can,MD,0
877,,be,VB,0
878,,sent,VBN,0
879,,back,RB,0
880,,to,TO,0
881,,prison,NN,0
882,,.,.,0
883,45.0,The,DT,0
884,,AP,NNP,15
885,,also,RB,0
886,,reports,VBZ,0
887,,Khayam,NNP,1
888,,has,VBZ,0
889,,been,VBN,0
890,,on,IN,0
891,,parole,NN,0
892,,from,IN,0
893,,prison,NN,0
894,,since,IN,0
895,,last,JJ,0
896,,year,NN,0
897,,after,IN,0
898,,serving,VBG,0
899,,half,PDT,0
900,,his,PRP$,0
901,,six-year,JJ,0
902,,sentence,NN,0
903,,for,IN,0
904,,drug,NN,0
905,,dealing,NN,0
906,,.,.,0
907,46.0,Pakistani,JJ,3
908,,officials,NNS,0
909,,say,VBP,0
910,,unidentified,JJ,0
911,,gunmen,NNS,0
912,,have,VBP,0
913,,killed,VBN,0
914,,three,CD,0
915,,people,NNS,0
916,,",",",",0
917,,including,VBG,0
918,,a,DT,0
919,,former,JJ,0
920,,government,NN,0
921,,minister,NN,0
922,,",",",",0
923,,in,IN,0
924,,a,DT,0
925,,semi-autonomous,JJ,0
926,,tribal,JJ,0
927,,region,NN,0
928,,bordering,VBG,0
929,,Afghanistan,NNP,7
930,,.,.,0
931,47.0,The,DT,0
932,,officials,NNS,0
933,,say,VBP,0
934,,prominent,JJ,0
935,,tribal,JJ,0
936,,leader,NN,0
937,,Malik,NNP,1
938,,Faridullah,NNP,2
939,,Khan,NNP,2
940,,was,VBD,0
941,,traveling,VBG,0
942,,in,IN,0
943,,South,NNP,7
944,,Waziristan,NNP,8
945,,Sunday,NNP,13
946,,when,WRB,0
947,,his,PRP$,0
948,,vehicle,NN,0
949,,was,VBD,0
950,,ambushed,VBN,0
951,,in,IN,0
952,,the,DT,0
953,,Kani,NNP,7
954,,Wam,NNP,8
955,,area,NN,0
956,,.,.,0
957,48.0,His,PRP$,0
958,,driver,NN,0
959,,and,CC,0
960,,a,DT,0
961,,tribal,JJ,0
962,,elder,NN,0
963,,were,VBD,0
964,,also,RB,0
965,,killed,VBN,0
966,,.,.,0
967,50.0,The,DT,0
968,,ambush,NN,0
969,,came,VBD,0
970,,a,DT,0
971,,day,NN,0
972,,after,IN,0
973,,a,DT,0
974,,commander,NN,0
975,,of,IN,0
976,,Pakistani,JJ,3
977,,troops,NNS,0
978,,said,VBD,0
979,,the,DT,0
980,,army,NN,0
981,,has,VBZ,0
982,,almost,RB,0
983,,completely,RB,0
984,,eliminated,VBN,0
985,,militants,NNS,0
986,,in,IN,0
987,,South,NNP,7
988,,Waziristan,NNP,8
989,,.,.,0
990,51.0,The,DT,0
991,,area,NN,0
992,,became,VBD,0
993,,a,DT,0
994,,refuge,NN,0
995,,for,IN,0
996,,many,JJ,0
997,,al-Qaida,NNP,15
998,,and,CC,0
999,,Taleban,NNP,15
1000,,fighters,NNS,0
1001,,after,IN,0
1002,,the,DT,0
1003,,Taleban,NNP,15
1004,,government,NN,0
1005,,was,VBD,0
1006,,ousted,VBN,0
1007,,in,IN,0
1008,,Afghanistan,NNP,7
1009,,in,IN,0
1010,,2001,CD,13
1011,,.,.,0
1012,52.0,A,DT,0
1013,,senior,JJ,0
1014,,Pakistani,JJ,3
1015,,military,JJ,0
1016,,official,NN,0
1017,,says,VBZ,0
1018,,Pakistan,NNP,3
1019,,wants,VBZ,0
1020,,to,TO,0
1021,,put,VB,0
1022,,what,WP,0
1023,,he,PRP,0
1024,,calls,VBZ,0
1025,,the,DT,0
1026,,"""",``,0
1027,,sordid,JJ,0
1028,,chapter,NN,0
1029,,"""",``,0
1030,,of,IN,0
1031,,proliferation,NN,0
1032,,by,IN,0
1033,,one,CD,0
1034,,of,IN,0
1035,,its,PRP$,0
1036,,top,JJ,0
1037,,scientists,NNS,0
1038,,behind,IN,0
1039,,it,PRP,0
1040,,and,CC,0
1041,,build,VB,0
1042,,civilian,JJ,0
1043,,nuclear,JJ,0
1044,,ties,NNS,0
1045,,with,IN,0
1046,,the,DT,0
1047,,United,NNP,3
1048,,States,NNPS,4
1049,,.,.,0
1050,53.0,But,CC,0
1051,,he,PRP,0
1052,,says,VBZ,0
1053,,Pakistan,NNP,3
1054,,is,VBZ,0
1055,,not,RB,0
1056,,ready,JJ,0
1057,,to,TO,0
1058,,make,VB,0
1059,,the,DT,0
1060,,nuclear,JJ,0
1061,,scientist,NN,0
1062,,",",",",0
1063,,Abdul,NNP,1
1064,,Qadeer,NNP,2
1065,,Khan,NNP,2
1066,,",",",",0
1067,,available,JJ,0
1068,,for,IN,0
1069,,direct,JJ,0
1070,,questioning,VBG,0
1071,,over,IN,0
1072,,his,PRP$,0
1073,,sale,NN,0
1074,,of,IN,0
1075,,nuclear,JJ,0
1076,,parts,NNS,0
1077,,and,CC,0
1078,,secrets,NNS,0
1079,,to,IN,0
1080,,states,NNS,0
1081,,including,VBG,0
1082,,Iran,NNP,3
1083,,",",",",0
1084,,Libya,NNP,3
1085,,and,CC,0
1086,,North,NNP,3
1087,,Korea,NNP,4
1088,,.,.,0
1089,54.0,He,PRP,0
1090,,said,VBD,0
1091,,there,EX,0
1092,,are,VBP,0
1093,,reasons,NNS,0
1094,,of,IN,0
1095,,national,JJ,0
1096,,sensitivities,NNS,0
1097,,for,IN,0
1098,,not,RB,0
1099,,making,VBG,0
1100,,him,PRP,0
1101,,available,JJ,0
1102,,.,.,0
1103,55.0,The,DT,0
1104,,Pakistani,JJ,3
1105,,official,NN,0
1106,,was,VBD,0
1107,,giving,VBG,0
1108,,a,DT,0
1109,,background,NN,0
1110,,briefing,NN,0
1111,,to,TO,0
1112,,a,DT,0
1113,,small,JJ,0
1114,,group,NN,0
1115,,of,IN,0
1116,,reporters,NNS,0
1117,,in,IN,0
1118,,Washington,NNP,7
1119,,.,.,0
1120,56.0,Khan,NNP,1
1121,,admitted,VBD,0
1122,,in,IN,0
1123,,2004,CD,13
1124,,that,IN,0
1125,,he,PRP,0
1126,,operated,VBD,0
1127,,a,DT,0
1128,,worldwide,JJ,0
1129,,clandestine,NN,0
1130,,network,NN,0
1131,,to,TO,0
1132,,sell,VB,0
1133,,nuclear,JJ,0
1134,,technology,NN,0
1135,,in,IN,0
1136,,the,DT,0
1137,,black,JJ,0
1138,,market,NN,0
1139,,.,.,0
1140,58.0,U.S.,NNP,3
1141,,Army,NNP,15
1142,,officials,NNS,0
1143,,said,VBD,0
1144,,Wednesday,NNP,13
1145,,that,IN,0
1146,,they,PRP,0
1147,,will,MD,0
1148,,not,RB,0
1149,,renew,VB,0
1150,,a,DT,0
1151,,controversial,JJ,0
1152,,multi-billion,JJ,0
1153,,dollar,NN,0
1154,,contract,NN,0
1155,,with,IN,0
1156,,the,DT,0
1157,,Halliburton,NNP,15
1158,,company,NN,0
1159,,to,TO,0
1160,,provide,VB,0
1161,,logistical,JJ,0
1162,,support,NN,0
1163,,to,IN,0
1164,,U.S.,NNP,3
1165,,troops,NNS,0
1166,,in,IN,0
1167,,Iraq,NNP,7
1168,,and,CC,0
1169,,elsewhere,RB,0
1170,,.,.,0
1171,59.0,Halliburton,NNP,15
1172,,has,VBZ,0
1173,,been,VBN,0
1174,,providing,VBG,0
1175,,a,DT,0
1176,,long,JJ,0
1177,,list,NN,0
1178,,of,IN,0
1179,,services,NNS,0
1180,,",",",",0
1181,,from,IN,0
1182,,meals,NNS,0
1183,,to,TO,0
1184,,communication,NN,0
1185,,",",",",0
1186,,for,IN,0
1187,,the,DT,0
1188,,military,NN,0
1189,,for,IN,0
1190,,several,JJ,0
1191,,years,NNS,0
1192,,.,.,0
1193,60.0,Critics,NNS,0
1194,,of,IN,0
1195,,Halliburton,NNP,15
1196,,include,VBP,0
1197,,auditors,NNS,0
1198,,and,CC,0
